tag;genero;especie;variedad
;Dysaphis;plantaginea;
larva del algodonero;Earias;fabia;
;Ecotetranychus;sp.;
barrenetas;Ectomyelois;ceratoniae;
Gorgojo del salvado del trigo y del maíz;Ecualandra;setulosa;
;Edovum;puttleri;
;Empoasca;fabae;
;Empoasca;kraemeri;Ross & Moore
;Encarsia;acaudaleyrodis;
;Encarsia;azimi;
;Encarsia;citrina;How
;Encarsia;dichroa;
;Encarsia;formosa;
;Encarsia;guadeloupae;
;Encarsia;hispida;
;Encarsia;inaron;
;Encarsia;inquirenda;
;Encarsia;lutea;
;Encarsia;pergandiella;
;Encarsia;perniciosi;
;Encarsia;sophia;
Mosca Blanca;Encarsia;sp.;
;Encarsia;strenua;
;Encarsia;tricolor;
;Eotetranychus;willamettei;Ewing
;Ephestia;küenhiella;
;Epidiaspis;leperii;
;Epilachna;varivestis;
Barrenador brotes leguminosas;Epinotia;opposita;
;Episyrphus;balteatus;
;Eretmocerus;debachi;
;Eretmocerus;eremicus;Howard
;Eretmocerus;mundus;
;Erioischia;brassicae;Linnaeus
pulgón lanudo del manzano ;Eriosoma;lanigerum;(Hausman).
;Erynnia;spp.;
Cicadelido de la uva;Erythroneura;elegantula;Osborn
;Eublema;scitula;Ramb
;Eucelatoria;sp.;
;Euderus;cushmani;
;Eupeodes;corollae;
;Eurytoma;tylodermatis;
;Euseius;hibisci;
;Euseius;stipulatus;
;Euseius;tularensis;
;Eutetranychus;banksi;
;Eutetranychus;orientalis;
;Evergestis;forficalis;Linnaeus
;Exeristes;comstockii;
;Exochomus;quadrispustulatus;
;Feltiella;acarisuga;
;Forficula;auricularia;
;Frankliniella;intonsa;
;Frankliniella;occidentalis;
;Franklinothrips;fespiformis;
;Franklinothrips;megalops;
;Fusarium;oxysporum;
;Geocoris;pallens;
;Geocoris;spp.;
Gorg. harina de cuernos anchos;Gnathocerus;cornutus;
Gorg.  harina  de cuernos delgados;Gnathocerus;maxillosus;
polilla oriental de la fruta;Grapholita;molesta;Busck
;Gynaikothrips;ficorum;
Gorgojo pequeño de los frijoles;Hapalips;sp.;
;Haplodiplosis;marginata;
;Haplothrips;cottei;
;Haplothrips;tritici;
;Helicoverpa;armigera;
;Helicoverpa;zea;
;Heliothis;spp.;
gusano del maíz;Heliothis;zea;
;Heliothrips;haemorrhoidalis;
;Hemiberlesia;rapax;Comstock
;Hemisarcoptes;coccophagus;
;Hemisarcoptes;malus;
;Hemisarcoptes;spp.;
;Hercinothrips;femoralis;
;Herogenes;spp.;
;Heterorhabditis;bacteriphora;Poinar
;Heterorhabditis;spp.;
;Hipoaspis;spp.;
;Hippodamia;variegata;(Goeze)
;Horogenes;sp.;
;Hungariella;pretiosa;
;Hyperecteina;aldrichi;
;Hypoaspis;miles;
;Hypoaspis;sp.;
cochinillas harinosas;Hypogecocus;pungens;
;Hyposoter;didymator;
;Hyposoter;exiguae;
Broca del café;Hypotenemus;hampei;
;Hyssopus;thymus;
Cochinilla acanalada;Icerya;purchasi;Mask
;Iphiseius;degenerans;
Gorgojo de productos de cervecería;Laemophloeus;ferrugineus;
Gorgojo de productos de cervecería;Laemophloeus;pusillus;
Gorgojo de productos de cervecería;Laemophloeus;turcicus;
;Lagenidium;giganteum;
;Larra;americana;
Gorgojo del tabaco;Lasioderma;serricorne;
;Latrodectus;mactans;
;Lecanicillium;lecanii;
;Lecanicillium;muscarium;
Serpeta gruesa;Lepidosaphes;beckii;Newman
serpeta fina;Lepidosaphes;gloverii;Packard
Serpeta;Lepidosaphes;ulmi;
;Leptomastidea;abnormis;
;Leptomastix;dactylopii;Howard
;Leptomastoidea;abnormis;
;Lespesia;archippivora;
;Lestodiplosis;aonidielae;
;Lestodiplosis;sp.;
;Leucopis;griseola;
;Limothrips;cerealium;
;Limothrips;denticornis;
;Liothrips;oleae;
;Liriomyza;bryoniae;
;Liriomyza;trifolii;
;Lixophaga;sphenophori;
;Lixophaga;variabilis;
;Lixus;scrobicollis;
;Locusta;migratoria;
;Lydella;grisescens;
;Lygus;elisus;Van D.
;Lygus;hesperus;Knight
;Lysiphlebus;confusus;Tremblay et Eady
;Lysiphlebus;fabarum;(Marshall),
;Lysiphlebus;testaceipes;(Cresson)
;Lysiplebus;spp.;
;Macrocentrus;anculiverus;
;Macrocentrus;ancylivora;
;Macrocentrus;ancylivorus;
;Macrolophus;caliginosus;
;Macrolophus;melanotoma;
;Macrolophus;pygmaeus;Cambur
;Macrosiphum;eurphorbiae;Thomas
Gusano telaraña;Malacosoma;americanum;Fabricius
;Mamestra;brassicae;Linnaeus
;Megaphragma;spp.;
;Melanotus;bivittatus;Say
;Meligethes;aeneus;
;Metaphicus;bartletti;
;Metaphicus;helvolus;
;Metaphicus;luteolus;
;Metaphycus;flavus;
;Metaphycus;helvolus;
;Metaphycus;lounsburyi;
;Metarhizium;anisopliae;
;Metatetranychus;citri;
;Mhyrra;octodecimguttata;
;Microbracon;gelechise;
;Microctonus;aethiopoides;
;Microlophium;carnosum;
;Microplitis;brassicae;
;Microterys;nietneri;
;Mononychellus;tanajoa;
;Montandoniella;moraguesi;
;Moranila;comperei;(Ashmead)
Áfido de la pera verde;Myzus;persicae;Sulzar
;Nabis;alternatus;
;Nabis;ferus;
;Nabis;pseudoferus;
;Nabis;punctatus;
;Nabis;spp.;
Gorgojo de la copra;Necrobia;rufipes;
;Neoseilus;spp.;
;Neoseiulus;barkeri;
;Neoseiulus;californicus;
;Neoseiulus;cucumeris;
;Neoseiulus;idaeus;
;Neoseiulus;limonicus;
;Neoseiulus;swirskii;
;Nesidiocoris;tenuis;
;Nezara;viridula;Linnaeus
;Novius;cruentatus;
;Odontohrips;confusus.;
Cucarrón de la hoja;Oetheca;bennigseni;
;Ommatoiulus;moreletti;
Mosca del frijol;Ophiomyia;phaseoli;Tryon
;Opius;concolor;
;Opius;humilis;
;Opius;pallipes;
;Opius;sp.;
;Opius;tryoni;
;Orgilus;obscurator;
;Orius;albidipennis;
;Orius;laevigatus;(Fieber).
;Orius;limbatus;
;Orius;majusculus;(Reuter)
;Orius;niger;
;Orius;sp.;
Gorgojo diente de serrucho;Oryzaephilus;surinamesis;
Perforador de maíz;Ostrinia;furnacalis;
taladrador europeo del maíz;Ostrinia;nubilalis;Hubner
;P.;cruciferae;Goeze
;P.;persimilis;
;Paecilomyces;fumosorosus;
;Paecilomyces;spp.;
Barrenador del maíz;Pagiocerus;zea;
;Palaeococcus;fuscipennis;Burm
;Panonychus;citri;
;Panonychus;ulmi;Koch
;Panonychus;ulmipor;
Mosca blanca;Parabemisia;myricae;(Kuwana)
Mosca blanca;Paraleyrodes;minei;Iaccarino
;Paralitomastis;varicornis;
Cochinilla violeta del olivo;Parlatoria;oleae;Colveé
Piojo gris;Parlatoria;pergandii;Comstock
piojo negro;Parlatoria;ziziphi;Lucas
Mosca blanca;Pealius;quercus;(Signoret)
;Pelidnoptera;nigripennis;
;Peristenus;pseudopallipes;
;Pezothrips;dianthi;
;Pezothrips;kellianus;
cochinillas harinosas;Phanacoccus;madeirensis;
cochinillas harinosas;Phanacoccus;peruvianus;
cochinillas harinosas;Phanacoccus;solani;Ferri
Gorgojo de la cañafístula;Phelomerus;aberrans;
;Phorodon;humuli;(Schrank)
Escarabajo pulga;Phullotreta;cruciferae;
;Phyllocnistis;citrella;Stainton
Cucarrón pulga;Phyllotreta;cruciferae;
;Phyllotreta;striolata;Fabricius
;Phylloxera;vitifoliae;
;Phytophthora;infestans;
;Phytoseiulus;persimilis;
Mariposa exótica del repollo;Pieris;rapae;Linnaeus
orugas de la col;Pieris;spp.;
Cotonet o cochinilla algodonosa;Planococcus;citri;Risso
cochinillas harinosas;Planococcus;ficus;Signoret
cochinillas harinosas;Planococcus;vovae;Nasonov
;Plantago;spp.;
Polilla india de la harina;Plodia;interpuntella;
polilla de dorso de diamante;Plutella;maculipennis;
Polilla de la col;Plutella;xylostella;
;Pnigalio;flavipes;
;Podisus;maculiventris;
;Podisus;spp.;
araña blanca de invernaderos;Polyphagotarsonemus;latus;
;Popillia;japonica;Newm
;Potentilla;reptans;
;Praon;volucre;
;Propylea;quatuordecimpunctata;
Gorgojo borer de los granos;Prostephanus;truncatus;
cochinilla piriforme;Protopulvinaria;pyriformis;Cockerell
cochinillas harinosas;Pseudococcus;comstocki;
cochinillas harinosas;Pseudococcus;longispinus;
cochinillas harinosas;Pseudococcus;viburni;
;Pseudosarcophaga;affinis;
;Psylla;pyricola;
;Psyllaephagus;pilosus;
;Puccinia;recondita;Rob
pulvinaria;Pulvinaria;floccifera;Westwood
;Pyemotes;herfsi;
Gusano rosado maíz y algodonero;Pyroderes;stigmatophora;
;Quadraspidiotus;ostreae;
piojo de San José;Quadraspidiotus;perniciosus;Comstock
Piojo de San José;Quadraspidiotus;perniciosus;Tower
;Quadrastichus;sp.;
;Rhabdoscelus;obscurus;Boisduval
;Rhopalosiphum;padi;
;Rhyacionia;buoliana;
;Rhyzobius;forestieri;
;Rhyzobius;lophantae;
cochinilla  australiana;Rodolia;cardinalis;
caparreta hemiesférica;Saissetia;coffeae;Walker
Cochinilla de la tizne o caparreta;Saissetia;oleae;Olivier
;Scapteriscus;vicinus;Schudder
;Scirtothrips;inermis;
;Scutellista;caerulea;
;Scymnus;interruptus;(Goeze)
;Scymnus;subvillosus;(Goeze)
;Semidalis;aleyrodiformis;
;Semielacher;petiolatus;
;Sigatoka;amarilla;
Mosca blanca;Simplaleurodes;hemisphaerica;Goux
Mosca blanca;Siphoninus;finitimus;Silvestri
Mosca blanca;Siphoninus;phillyreae;(Haliday)
;Sitobium;avenae;
Gorgojo de los granos;Sitophilus;granarius;
Gorgojo de los granos a medio secar;Sitophilus;linearis;
Gorgojo negro del maíz;Sitophilus;orizae;
 Polilla del maíz;Sitotroga;cerealella;
;Solenotus;intermedius;
;Sphaerophoria;rueppellii;(Wiedemann)
;Spodoptera;exigua;
gusano de la acelga;Spodoptera;frugiperda;
;Spodoptera;sunia;
;Steinernema;carpocapsae;
;Steinernema;feltiae;(Filipjev)
;Steinernema;spp.;
Polilla de la semilla del ajonjolí;Stenoma;sp.;
;Stethorus;punctillum;
;Swammerdamia;lutarea;
;Sympiesis;stigmata;
;Synpherobius;conspersus;
;Synpherobius;elegans;
;Synpherobius;fallans;
Gorgojo cadelle;Tenebroides;mauritanicus;
Mosca blanca;Tetralicia;ericae;Harrison
Mosca blanca;Tetralicia;iberiaca;Bink-Moenen
;Tetranichus;urticae;
Araña Roja;Tetranychus;urticae ;
;Tetranychus;telarius;
la alfalfa pulgón;Theriophis;maculata;
;Thripastichus;gentilei;
;Thripinema;spp.;
;Thrips;angusticeps;
;Thrips;meridionalis;
;Thrips;meridionalis;
;Thrips;simplex;
;Thrips;tabaci;
;Thyphlodromus;occidentalis;
Polilla del maíz;Tinea;posible;granilla
;Toxoptera;aurantii;(Boyer de Fonscolombe)
Mosca blanca;Trialeurodes;ericae;Bink-Moenen
Mosca blanca;Trialeurodes;ricini;(Misra)
mosca blanca de los invernaderos;Trialeurodes;vaporariorum;(Westwood)
;Trialeurodes;variabilis;
Gorgojo negro de la harina;Tribolium;castaneum;
Gorgojo  confuso  de las harinas;Tribolium;confusum;
;Trichogramma;bactrae;
Orugas;Trichogramma;evanescens;
;Trichogramma;pretiosum;
;Trichogramma;semifumatum;
;Trichogramma;sp.;
gusano gris de la col;Trichoplusia;ni;
;Trichopoda;pennipes;
;Tripobius;semiluteus;
;Tripobius;spp.;
;Trissolcus;basalis;
;Trissolcus;euschisti;
;Typhlodromalus;aripo;
;Typhlodromus;pyri;
;Typhlodromus;spp.;
Ácaro  de  las harinas;Tyrogliphus;faringe;
;Tyroglyphus;phylloxerae;Riley
;Unaspis;yanonensis;(Kuwana)
;Urtica;dioica;
;Voria;ruralis;
Gorgojo de los frijoles;Zabrotes;subfasciatus;
;Zoophthora;ambliseius;
;Zoophthora;phytonomi;
